"pk","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Confirmed","Notes"
"1514353944","sapir_communication_1931","2711725169",">","3353805721","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"radio, railroads; term used was radius = range, not sure how to standardize"
"2492709906","sapir_communication_1931","2711725169",">","1466202876","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"radio, railroads"
"536607666","sapir_communication_1931","1466202876",">","3719167349","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"mentions fashions and languages (p 81), works both within and between languages"
"130897953","sapir_communication_1931","3353805721",">","3719167349","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"mentions fashions and languages (p 81), works both within and between languages"
"1247126622","sapir_communication_1931","1746840506",">","3353805721","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,""
"1682545430","sapir_communication_1931","3353805721",">","2554133047","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"""A single word passed between members of an intimate group, in spite of its apparent vagueness and ambiguity, may constitute a far more precise communication than volumes of carefully prepared correspondence interchanged between two governments."""
"1839339902","sapir_communication_1931","1746840506",">","1182635923","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"smaller groups have more complex shared understanding"
"2546247285","sapir_communication_1931","1182635923",">","2554133047","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"""Generally speaking, the smaller the circle and the more complex the understandings already arrived at within it, the more economical can the act of communication afford to become."""
"1583060581","zipf1935psycho","3344516874",">","907311459","neg",NA,NA,"none","statistical","","","the magnitude of words tends, on the whole, to stand in an inverse (not necessarily proportionate) relationship to the number of occurrences"
"2209074830","hockett1960Origin","2979943643",">","31407103","pos",NA,NA,"cultural evolution","hypothesis","","no",NA
"3091719333","zajonc1968attitudinal","907311459",">","4182057302","pos",NA,NA,"language change","statistical","",NA,"Review from Boucher & Osgood (1969): ""The Pollyanna Hypothesis asserts that evaluation is the cause of usage frequency. The reverse causal relation is asserted by Zajonc (1968)--that mere expo- sure to stimuli generates positive attitude or evaluation. Thus frequency of usage creates familiarity, and familiarity breeds not contempt but respect."""
"2954748941","zajonc1968attitudinal","4182057302",">","4218912191","pos",NA,NA,"language change","statistical","",NA,"Review from Boucher & Osgood (1969): ""The Pollyanna Hypothesis asserts that evaluation is the cause of usage frequency. The reverse causal relation is asserted by Zajonc (1968)--that mere expo- sure to stimuli generates positive attitude or evaluation. Thus frequency of usage creates familiarity, and familiarity breeds not contempt but respect."""
"3125105705","boucher1969pollyanna","80696849",">","4218912191","pos",NA,NA,"language change","hypothesis","",NA,"the Pollyanna Hypothesis--that there is a universal human tendency to use evaluatively positive (E+) words more frequently, diversely and facilely than evaluatively negative (E-) words. Put even more simply, humans tend to ""look on (and talk about) the bright side of life."" ... The Pollyanna Hypothesis asserts that evaluation is the cause of usage frequency."
"1465060157","boucher1969pollyanna","4218912191",">","907311459","pos",NA,NA,"language change","statistical","",NA,"the Pollyanna Hypothesis--that there is a universal human tendency to use evaluatively positive (E+) words more frequently, diversely and facilely than evaluatively negative (E-) words. Put even more simply, humans tend to ""look on (and talk about) the bright side of life."" ... The Pollyanna Hypothesis asserts that evaluation is the cause of usage frequency."
"3321133119","boucher1969pollyanna","1729858907",">","80696849","pos",NA,NA,"language change","hypothesis","",NA,"Why do they tend to see and report the good quali- ties of things ? The answer surely goes beyond psycholinguistics per se and into the nature of human social structures and the conditions under which these structures can be maintained. It is hard to imagine human groups whose members persistently look for and talk about the ugly things in life and in their neigh- bors long remaining together. "
"3699277909","boucher1969pollyanna","4218912191",">","49941528","neg",NA,NA,"language change","statistical","",NA,"E+ [evaluatively positive] words will appear earlier in the vocabularies of children than matched E- words.   the E+ mem- bers of pairs should appear earlier in the language of children than their E - opposites. This could be due, in part, to the direct opera- tion of Pollyannaism in humans, but it could also be due to the greater availability of E+ qualifiers in the adult language.'"
"2519089993","boucher1969pollyanna","4218912191",">","3253875825","pos",NA,NA,"language change","hypothesis","",NA,"other things equal, again, E+ [evaluatively positive] words will have lower recognition thresholds than E- [evaluatively negative] words"
"142137484","boucher1969pollyanna","4218912191",">","3130560403","pos",NA,NA,"language change","statistical","",NA,"it also predicts that E+ qualifiers will display greater diversities of usage, i.e., will be used to modify a wider range of different nouns, than their E- opposites."
"1592647327","boucher1969pollyanna","4218912191",">","1097259485","pos",NA,NA,"language change","hypothesis","",NA,"The Pollyanna Hypothesis leads to the pre- diction that, for human languages generally, negative affixes will be applied to E+ words (to make E- opposites) more frequently than to E- words (to make E+ opposites). This is because the hypothesis assumes priority of E+ words in appearance in a language historically as well as in the development of language in individuals--and negative affixes must be applied to already existent meaningful forms."
"839506975","boucher1969pollyanna","907311459",">","49941528","pos",NA,NA,"language change","hypothesis","",NA,"the E+ mem- bers of pairs should appear earlier in the language of children than their E - opposites. This could be due, in part, to the direct opera- tion of Pollyannaism in humans, but it could also be due to the greater availability of E+ qualifiers in the adult language.'"
